Concentration,30K,50K,123K,200K,311K,650K,1080K,2000K
10,527,540,561,613,622,716,854,1034
10,514,524,556,625,666,725,863,1021
10,521,530,559,636,640,714,862,1007
10,517,551,552,625,693,719,834,1021
10,536,564,577,644,657,709,859,1049
10,516,560,568,635,671,720,869,1024
,,,,,,,,
15,802,835,891,1024,1059,1181,1475,1920
15,794,860,883,1020,1067,1167,1480,1944
15,806,844,876,1008,1102,1184,1483,1937
15,789,878,883,1030,1110,1172,1486,1940
15,812,847,898,991,1031,1179,1451,1924
15,807,854,897,988,1013,1182,1480,1902
,,,,,,,,
20,1125,1116,1268,1428,1528,1855,2336,3162
20,1082,1125,1256,1451,1539,1858,2339,3161
20,1076,1130,1276,1417,1540,1867,2324,3186
20,1086,1157,1250,1419,1495,1883,2326,3137
20,1086,1119,1276,1392,1426,1893,2330,3123
20,1064,1132,1268,1425,1426,1890,2320,3133
,,,,,,,,
25,1411,1479,1714,1908,2112,2669,3302,5028
25,1424,1456,1669,1848,2023,2719,3280,4971
25,1381,1532,1761,1842,2046,2674,3300,5074
25,1406,1548,1714,1836,2093,2702,3295,5005
25,1372,1527,1658,1807,1972,2607,3214,4951
25,1403,1470,1673,1807,1926,2613,3208,4888
,,,,,,,,
30,1702,1826,2062,2442,2508,3487,4652,7009
30,1696,1859,2001,2424,2512,3432,4705,7353
30,1696,1823,2143,2441,2777,3466,4734,7338
30,1799,1781,2102,2449,2745,3323,4774,7251
30,1741,1829,2085,2432,2710,3519,4618,7287
30,1745,1830,2062,2469,2670,3426,4608,7273